2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
8666,10206,12134,14108,15827,17457,19158,20866,22349,23572,24504,25312,26005,26554,26962,27169,27192,26973,26727,26441,26094
6968,8095,9710,11659,13660,15364,16995,18712,20437,21944,23195,24158,24995,25715,26289,26717,26944,26987,26788,26556,26283
5817,6781,7946,9568,11528,13505,15199,16832,18551,20280,21793,23051,24023,24868,25596,26177,26611,26845,26894,26701,26475
4885,5685,6674,7844,9473,11407,13367,15057,16688,18405,20133,21647,22907,23883,24733,25465,26050,26490,26730,26784,26598
4067,4747,5566,6557,7730,9332,11242,13188,14868,16493,18203,19925,21436,22696,23675,24529,25266,25857,26303,26550,26613
3391,3932,4628,5448,6440,7591,9170,11061,12989,14658,16273,17975,19689,21196,22456,23438,24296,25038,25636,26089,26345
2830,3270,3825,4521,5341,6314,7449,9010,10881,12791,14448,16054,17747,19454,20956,22215,23200,24062,24809,25413,25873
2339,2719,3171,3727,4421,5225,6183,7305,8849,10699,12590,14235,15831,17514,19212,20709,21966,22953,23818,24570,25180
1918,2234,2623,3075,3629,4308,5097,6042,7149,8671,10496,12365,13995,15577,17247,18934,20423,21678,22666,23534,24291
1572,1819,2141,2527,2976,3516,4179,4954,5881,6969,8464,10258,12098,13706,15271,16923,18593,20072,21321,22308,23180
1340,1474,1724,2041,2422,2855,3377,4023,4777,5682,6743,8200,9951,11749,13325,14862,16486,18131,19591,20830,21815
1085,1233,1373,1617,1925,2288,2702,3205,3826,4553,5425,6448,7854,9544,11285,12816,14313,15898,17506,18940,20165
837,967,1116,1253,1486,1774,2114,2506,2981,3568,4257,5083,6054,7388,8995,10655,12124,13565,15093,16650,18049
610,707,832,970,1099,1310,1570,1879,2236,2669,3206,3835,4593,5486,6712,8195,9735,11107,12460,13904,15382
405,471,559,668,789,899,1078,1300,1565,1872,2245,2708,3253,3911,4690,5763,7067,8431,9659,10884,12202
230,271,325,394,480,572,657,795,966,1172,1410,1702,2065,2495,3017,3642,4507,5563,6679,7708,8750
105,124,152,188,233,286,345,402,491,602,736,893,1087,1329,1619,1978,2414,3017,3761,4569,5336
34,41,51,64,82,103,129,157,185,229,284,351,431,530,655,810,1005,1245,1580,2007,2483
7,9,11,14,19,24,31,39,48,58,72,90,113,141,175,221,280,355,449,586,765
1,1,1,2,2,3,4,5,7,9,11,13,17,22,27,35,46,59,78,102,138
0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,7,10,14